datasetId;startTime;endTime;value
124;2024-10-10T04:30:00.000Z;2024-10-10T04:45:00.000Z;9676.3
124;2024-10-10T04:15:00.000Z;2024-10-10T04:30:00.000Z;9650.97
124;2024-10-10T04:00:00.000Z;2024-10-10T04:15:00.000Z;9656.2
124;2024-10-10T03:45:00.000Z;2024-10-10T04:00:00.000Z;9511.87
124;2024-10-10T03:30:00.000Z;2024-10-10T03:45:00.000Z;9356.97
124;2024-10-10T03:15:00.000Z;2024-10-10T03:30:00.000Z;9153.26
124;2024-10-10T03:00:00.000Z;2024-10-10T03:15:00.000Z;9025.32
124;2024-10-10T02:45:00.000Z;2024-10-10T03:00:00.000Z;8915.3
124;2024-10-10T02:30:00.000Z;2024-10-10T02:45:00.000Z;8744.46
124;2024-10-10T02:15:00.000Z;2024-10-10T02:30:00.000Z;8660.93
124;2024-10-10T02:00:00.000Z;2024-10-10T02:15:00.000Z;8592.76
124;2024-10-10T01:45:00.000Z;2024-10-10T02:00:00.000Z;8494.07
124;2024-10-10T01:30:00.000Z;2024-10-10T01:45:00.000Z;8461.77
124;2024-10-10T01:15:00.000Z;2024-10-10T01:30:00.000Z;8444.56
124;2024-10-10T01:00:00.000Z;2024-10-10T01:15:00.000Z;8435.14
124;2024-10-10T00:45:00.000Z;2024-10-10T01:00:00.000Z;8459.63
124;2024-10-10T00:30:00.000Z;2024-10-10T00:45:00.000Z;8404.64
124;2024-10-10T00:15:00.000Z;2024-10-10T00:30:00.000Z;8448.6
124;2024-10-10T00:00:00.000Z;2024-10-10T00:15:00.000Z;8468.85
